1985 Ferrari                                 Testarossa                                      11
1985 Dodge                                   B150/B250 Wagon 2WD                             11
1993 Subaru                                  Legacy AWD Turbo                                19
1985 Dodge                                   B150/B250 Wagon 2WD                             13
1993 Volvo                                   240                                             20
1993 Audi                                    100                                             19
1993 Audi                                    100                                             19
1993 BMW                                     740i                                            16
1993 BMW                                     740il                                           16
1993 BMW                                     750il                                           13
1993 Buick                                   Century                                         19
1985 Dodge                                   B150/B250 Wagon 2WD                             13
1993 Buick                                   Regal                                           20
1993 Buick                                   Regal                                           20
1993 Buick                                   Regal                                           20
1993 Buick                                   Riviera                                         20
1993 Cadillac                                Eldorado                                        18
1993 Cadillac                                Eldorado                                        17
1993 Cadillac                                Seville                                         18
1993 Cadillac                                Seville                                         17
1985 Dodge                                   B150/B250 Wagon 2WD                             13
1993 Chevrolet                               Lumina                                          20
1993 Chevrolet                               Lumina                                          20
1993 Chevrolet                               Lumina                                          18
1993 Chevrolet                               Lumina                                          18
1993 Chrysler                                New Yorker                                      20
1993 CX Automotive                           XM v6                                           15
1993 CX Automotive                           XM v6a                                          15
1993 Nissan                                  Maxima                                          19
1993 Nissan                                  Maxima                                          19
1993 Nissan                                  Maxima                                          20
1985 Dodge                                   B150/B250 Wagon 2WD                             10
1993 Dodge                                   Dynasty                                         20
1993 Dodge                                   Spirit                                          20
1993 Ford                                    Taurus SHO                                      19
1985 Dodge                                   B350 Wagon 2WD                                  10
1993 Ford                                    Taurus                                          20
1993 Ford                                    Thunderbird                                     20
1993 Ford                                    Thunderbird                                     17
1993 Ford                                    Thunderbird                                     18
1993 Ford                                    Thunderbird                                     18
1993 Hyundai                                 Sonata                                          20
1993 Hyundai                                 Sonata                                          20
1993 Hyundai                                 Sonata                                          18
1993 Infiniti                                Q45                                             17
1993 Infiniti                                Q45 Full-Active Suspension                      15
1985 Dodge                                   B350 Wagon 2WD                                  10
1993 Lexus                                   LS 400                                          18
1993 Mercury                                 Cougar                                          19
1993 Mercury                                 Cougar                                          18
1993 Mercury                                 Sable                                           20
1993 Mazda                                   626                                             19
1993 Mazda                                   626                                             20
1993 Mazda                                   929                                             19
1985 Dodge                                   B350 Wagon 2WD                                  10
1993 Oldsmobile                              Cutlass Ciera                                   19
1993 Oldsmobile                              Cutlass Supreme                                 20
1993 Oldsmobile                              Cutlass Supreme                                 20
1993 Oldsmobile                              Cutlass Supreme                                 18
1993 Oldsmobile                              Cutlass Supreme                                 18
1993 Oldsmobile                              Toronado                                        20
1985 Ford                                    E150 Club Wagon                                 13
1993 Plymouth                                Acclaim                                         20
1993 Pontiac                                 Grand Prix                                      20
1993 Pontiac                                 Grand Prix                                      20
1993 Pontiac                                 Grand Prix                                      18
1993 Pontiac                                 Grand Prix                                      18
1993 Rolls-Royce                             Brooklands/Brklnds L                            11
1993 Rolls-Royce                             Turbo R/Turbo R(lwb)                            11
1993 Rolls-Royce                             Silver Spirit II/Silver Spur                    11
1985 Ford                                    E150 Club Wagon                                 14
1993 Toyota                                  Camry                                           19
1993 Toyota                                  Camry                                           18
1993 Volkswagen                              Passat                                          18
1993 Volkswagen                              Passat                                          20
1985 Ford                                    E150 Club Wagon                                 16
1993 Volvo                                   940                                             19
1993 Volvo                                   940                                             20
1993 Volvo                                   960                                             18
1993 Buick                                   LeSabre                                         20
1993 Buick                                   Park Avenue                                     18
1993 Buick                                   Park Avenue                                     20
1993 Buick                                   Roadmaster                                      17
1993 Cadillac                                DeVille/60 Special                              17
1993 Cadillac                                Fleetwood                                       17
1993 Chevrolet                               Caprice                                         19
